gene_name,PageRank0h,PageRank16h,Ratio
LTB,1.57E-05,1.68E-05,1.07
IPO4,0.000119604,0.000127521,1.07
TMEM259,3.80E-05,4.05E-05,1.07
JOSD1,3.21E-05,3.42E-05,1.07
USP1,9.44E-05,0.000100542,1.07
CHTOP,0.000109593,0.000116772,1.07
HIST2H2AC,0.000520608,0.000554661,1.07
ITGAL,4.44E-05,4.73E-05,1.07
YME1L1,8.27E-05,8.81E-05,1.07
EGR1,8.22E-05,8.76E-05,1.07
GINS1,3.37E-05,3.59E-05,1.07
RPS17,0.000251198,0.000267537,1.07
RPS27L,0.000160674,0.00017111,1.06
NAT10,0.000189284,0.000201577,1.06
PEX13,2.79E-05,2.98E-05,1.06
CARS,0.000151009,0.000160814,1.06
TOMM5,4.56E-05,4.85E-05,1.06
FTSJ1,3.77E-05,4.01E-05,1.06
RBM34,0.00024644,0.000262392,1.06
TIMM8B,6.00E-05,6.39E-05,1.06
QTRTD1,4.17E-05,4.44E-05,1.06
UBXN8,7.07E-05,7.53E-05,1.06
NMD3,0.000162212,0.000172637,1.06
HELLS,8.66E-05,9.22E-05,1.06
POLR1E,8.84E-05,9.41E-05,1.06
URB2,6.00E-05,6.38E-05,1.06
PDCD2L,5.09E-05,5.42E-05,1.06
SBNO2,2.30E-05,2.44E-05,1.06
DYNC1LI2,8.07E-05,8.58E-05,1.06
SIK3,7.80E-05,8.30E-05,1.06
NOL9,9.50E-05,0.000101022,1.06
GCH1,7.36E-05,7.83E-05,1.06
FAM168B,1.66E-05,1.77E-05,1.06
DCUN1D5,7.61E-05,8.09E-05,1.06
YARS2,0.000104586,0.000111238,1.06
ADAT2,3.64E-05,3.88E-05,1.06
RPS3A,0.000504013,0.000535883,1.06
BZW1,0.000107956,0.000114769,1.06
SBNO1,7.45E-05,7.92E-05,1.06
ALKBH1,1.84E-05,1.96E-05,1.06
RNF121,2.14E-05,2.28E-05,1.06
PES1,0.000268321,0.00028522,1.06
NOLC1,0.000280718,0.000298392,1.06
MRPL52,7.55E-05,8.02E-05,1.06
RPL30,0.000486018,0.000516497,1.06
GAR1,0.000186617,0.000198309,1.06
RPL23,0.000459019,0.000487765,1.06
MRPL57,9.28E-05,9.87E-05,1.06
POLRMT,5.81E-05,6.17E-05,1.06
RPS24,0.000341429,0.000362607,1.06
RPL18,0.000535471,0.000568659,1.06
IRF1,9.18E-05,9.75E-05,1.06
YIF1B,4.14E-05,4.40E-05,1.06
UBXN4,7.78E-05,8.27E-05,1.06
RSC1A1,2.92E-05,3.10E-05,1.06
GRASP,2.47E-05,2.63E-05,1.06
PLSCR1,0.000191253,0.000203031,1.06
THADA,7.91E-05,8.40E-05,1.06
ZNRD1,4.95E-05,5.25E-05,1.06
RPS19,0.000412199,0.00043748,1.06
KATNAL1,2.27E-05,2.41E-05,1.06
FASTKD1,2.47E-05,2.62E-05,1.06
SLAMF1,0.000250555,0.000265887,1.06
NOL12,0.000177988,0.000188858,1.06
MRPS15,0.000135928,0.000144221,1.06
AURKAIP1,0.000103434,0.000109739,1.06
SIDT2,2.86E-05,3.04E-05,1.06
ATP8A1,2.57E-05,2.73E-05,1.06
SLC39A10,4.52E-05,4.79E-05,1.06
NTMT1,7.49E-05,7.94E-05,1.06
MRPS36,3.52E-05,3.73E-05,1.06
GRWD1,0.000132285,0.000140279,1.06
ATAD1,6.63E-05,7.03E-05,1.06
RDH11,6.69E-05,7.09E-05,1.06
ID3,6.73E-05,7.13E-05,1.06
NOC4L,0.000108907,0.000115455,1.06
IMP3,9.03E-05,9.58E-05,1.06
CCDC124,6.64E-05,7.04E-05,1.06
NUDCD3,0.000116229,0.000123193,1.06
TET2,5.27E-05,5.59E-05,1.06
BHLHE40,9.96E-05,0.000105593,1.06
FYTTD1,0.000147425,0.000156244,1.06
KLHL9,4.74E-05,5.02E-05,1.06
ZFAND5,3.75E-05,3.97E-05,1.06
SH3RF1,3.16E-05,3.35E-05,1.06
USE1,0.000137532,0.000145724,1.06
SRPR,9.21E-05,9.76E-05,1.06
TMEM87A,4.85E-05,5.14E-05,1.06
NAA38,4.51E-05,4.78E-05,1.06
RPL5,0.000489582,0.000518639,1.06
NAA20,4.36E-05,4.62E-05,1.06
RPLP2,0.000377749,0.000400124,1.06
NEMF,8.58E-05,9.09E-05,1.06
HIST1H3B,0.000169764,0.0001798,1.06
PDCD5,7.18E-05,7.61E-05,1.06
DAGLB,3.44E-05,3.65E-05,1.06
NEFH,7.59E-05,8.04E-05,1.06
MOCS3,4.79E-05,5.07E-05,1.06
DUS2,1.46E-05,1.55E-05,1.06
LARP1,0.000274419,0.000290575,1.06
TMUB2,3.80E-05,4.03E-05,1.06
NPTN,4.99E-05,5.29E-05,1.06
UBAP2L,0.000162517,0.000172027,1.06
SLC31A1,2.86E-05,3.02E-05,1.06
WBSCR22,6.96E-05,7.36E-05,1.06
TCF25,7.24E-05,7.66E-05,1.06
PPAT,0.000119148,0.000126048,1.06
6-Mar,4.14E-05,4.38E-05,1.06
RPL13A,0.000288799,0.000305515,1.06
SLC38A10,3.65E-05,3.86E-05,1.06
RAB43,2.59E-05,2.74E-05,1.06
LRPAP1,4.72E-05,5.00E-05,1.06
USP38,2.99E-05,3.16E-05,1.06
ANKRD10,2.74E-05,2.89E-05,1.06
BTAF1,6.25E-05,6.61E-05,1.06
ZWINT,0.000189468,0.000200352,1.06
RPL18A,0.000466344,0.000493131,1.06
PTRH1,1.14E-05,1.21E-05,1.06
FAM3A,2.35E-05,2.48E-05,1.06
SRP14,0.000207151,0.000219017,1.06
KIAA1551,1.80E-05,1.91E-05,1.06
RPS18,0.000385344,0.000407343,1.06
CCDC97,6.60E-05,6.98E-05,1.06
NSD1,5.37E-05,5.68E-05,1.06
USP10,0.000174905,0.000184853,1.06
CTIF,2.62E-05,2.77E-05,1.06
HMGN2,6.45E-05,6.82E-05,1.06
EIF3G,0.000161103,0.000170217,1.06
EEF1E1,0.000148317,0.000156707,1.06
PIEZO1,3.96E-05,4.18E-05,1.06
ANKLE2,5.72E-05,6.04E-05,1.06
TWISTNB,5.91E-05,6.24E-05,1.06
RANBP6,0.00014647,0.00015469,1.06
PAPD5,9.72E-05,0.000102691,1.06
RPL22L1,5.74E-05,6.06E-05,1.06
GK2,2.30E-05,2.43E-05,1.06
CDCA4,5.51E-05,5.81E-05,1.06
REEP4,4.51E-05,4.76E-05,1.06
TSR1,0.000262925,0.00027754,1.06
EIF2B3,0.000127842,0.000134943,1.06
ALKBH4,3.52E-05,3.71E-05,1.06
PUM2,5.59E-05,5.90E-05,1.06
PABPC4,0.000356693,0.000376476,1.06
TOR1B,4.55E-05,4.80E-05,1.06
UQCC1,5.26E-05,5.56E-05,1.06
NDUFAF2,5.12E-05,5.40E-05,1.06
ARL6,4.24E-05,4.48E-05,1.06
NFAT5,2.57E-05,2.71E-05,1.06
POLR1A,0.000197743,0.000208665,1.06
TRMT44,2.31E-05,2.43E-05,1.06
RPS4X,0.000447823,0.000472516,1.06
TIMM17B,4.70E-05,4.96E-05,1.06
EIF1B,0.00010898,0.000114979,1.06
KLHDC10,5.53E-05,5.83E-05,1.06
DDX24,0.000300069,0.000316515,1.05
SSB,0.000286951,0.000302631,1.05
DDX54,0.000139738,0.000147364,1.05
PARL,3.62E-05,3.81E-05,1.05
TAF1A,7.50E-05,7.91E-05,1.05
IGSF3,2.04E-05,2.15E-05,1.05
PAK1IP1,7.89E-05,8.32E-05,1.05
MAPKAPK5,4.09E-05,4.32E-05,1.05
IPO7,0.000221976,0.000233987,1.05
EIF2A,0.000126794,0.000133654,1.05
SCAP,3.73E-05,3.93E-05,1.05
TOMM70A,9.56E-05,0.000100711,1.05
NMT2,7.94E-05,8.36E-05,1.05
DOT1L,0.000114678,0.000120838,1.05
RCL1,6.09E-05,6.42E-05,1.05
MRPL41,0.000166689,0.000175615,1.05
ZC3H12A,6.77E-05,7.13E-05,1.05
RAD51D,5.37E-05,5.66E-05,1.05
XPOT,0.000113296,0.000119357,1.05
DESI1,8.35E-05,8.80E-05,1.05
DNAJC24,1.30E-05,1.37E-05,1.05
GDE1,4.28E-05,4.51E-05,1.05
SELK,3.22E-05,3.39E-05,1.05
SURF2,0.000122056,0.000128567,1.05
ECD,0.000116068,0.000122249,1.05
KRI1,7.23E-05,7.61E-05,1.05
MAD2L2,0.000112224,0.000118198,1.05
MTHFD2,0.000109783,0.000115621,1.05
HSPA1L,0.000387852,0.000408458,1.05
CNOT8,7.14E-05,7.52E-05,1.05
DRG2,6.62E-05,6.98E-05,1.05
CDKAL1,5.01E-05,5.28E-05,1.05
ZKSCAN1,4.39E-05,4.62E-05,1.05
RPS28,0.000260743,0.000274559,1.05
CCDC126,1.24E-05,1.30E-05,1.05
NLE1,8.60E-05,9.05E-05,1.05
RPS13,0.000425073,0.000447509,1.05
MRPL47,0.00016146,0.000169974,1.05
ICAM1,0.000325072,0.000342201,1.05
MRPL14,0.000116414,0.000122544,1.05
DHODH,5.88E-05,6.19E-05,1.05
EPT1,1.99E-05,2.10E-05,1.05
HIVEP3,3.08E-05,3.24E-05,1.05
KTN1,0.000135409,0.000142501,1.05
EIF3L,0.000191236,0.000201252,1.05
RPS14,0.000512117,0.00053893,1.05
VWA8,6.07E-05,6.38E-05,1.05
RAB23,2.35E-05,2.47E-05,1.05
NACA,0.000141277,0.000148655,1.05
RPP38,0.000101583,0.000106883,1.05
GADD45GIP1,0.000129912,0.000136688,1.05
ZNF512,0.000167655,0.000176391,1.05
ALDOART2,4.80E-05,5.05E-05,1.05
UBXN2A,6.39E-05,6.73E-05,1.05
EIF4ENIF1,0.000117066,0.000123148,1.05
FASTKD2,6.26E-05,6.58E-05,1.05
ENTPD4,2.74E-05,2.88E-05,1.05
ANKRD49,3.06E-05,3.21E-05,1.05
APOB,0.000102118,0.000107358,1.05
RPS2,0.000603132,0.000634019,1.05
PEX12,2.04E-05,2.15E-05,1.05
EIF4E,0.000137198,0.000144218,1.05
HERPUD2,2.48E-05,2.61E-05,1.05
MGAT5,2.34E-05,2.46E-05,1.05
NOP58,0.000288211,0.000302903,1.05
NGRN,8.10E-05,8.51E-05,1.05
DDX50,9.79E-05,0.000102919,1.05
ATL2,5.98E-05,6.29E-05,1.05
CTU2,6.73E-05,7.08E-05,1.05
USP42,9.60E-05,0.000100826,1.05
NKRF,0.000108774,0.000114285,1.05
TRP53BP2,1.68E-05,1.77E-05,1.05
NUDT9,5.58E-05,5.86E-05,1.05
PLOD3,8.36E-05,8.79E-05,1.05
RCE1,1.88E-05,1.98E-05,1.05
GABARAPL2,0.000200786,0.000210913,1.05
ACOT7,0.000103335,0.000108544,1.05
GPHN,9.47E-05,9.94E-05,1.05
HEATR6,3.81E-05,4.00E-05,1.05
NDUFAF6,1.99E-05,2.09E-05,1.05
RPS9,0.000392378,0.000412064,1.05
NME6,2.83E-05,2.97E-05,1.05
CD82,4.38E-05,4.60E-05,1.05
RAB12,2.26E-05,2.37E-05,1.05
CNEP1R1,1.66E-05,1.74E-05,1.05
ATG4B,6.97E-05,7.32E-05,1.05
DDX51,6.57E-05,6.90E-05,1.05
TUBAL3,6.89E-05,7.23E-05,1.05
PPID,0.000128338,0.000134677,1.05
UCK1,3.20E-05,3.36E-05,1.05
VIMP,5.90E-05,6.19E-05,1.05
JMY,3.01E-05,3.16E-05,1.05
HSPBP1,0.000202141,0.000212102,1.05
H2AFX,0.000950517,0.000997352,1.05
EIF2B4,0.000110718,0.000116172,1.05
DDX47,0.000127413,0.000133677,1.05
CTNNA2,4.93E-05,5.17E-05,1.05
MANF,4.08E-05,4.28E-05,1.05
UMPS,0.000138926,0.000145716,1.05
METTL6,4.49E-05,4.71E-05,1.05
EIF2S2,0.000196991,0.000206605,1.05
SPG21,8.59E-05,9.01E-05,1.05
UBA52,0.000303735,0.000318521,1.05
DDX21,0.000314915,0.00033024,1.05
ZDHHC13,2.76E-05,2.89E-05,1.05
RPS12,0.000306093,0.000320911,1.05
CBWD1,0.000127239,0.00013339,1.05
CHAF1B,9.02E-05,9.46E-05,1.05
RTN3,8.26E-05,8.66E-05,1.05
MRPL3,0.000121508,0.000127356,1.05
PITPNB,9.15E-05,9.59E-05,1.05
RNF25,4.25E-05,4.45E-05,1.05
SH3BP2,6.58E-05,6.90E-05,1.05
ABCB6,3.98E-05,4.17E-05,1.05
MAT2A,0.000153466,0.000160812,1.05
LIN7A,6.39E-05,6.70E-05,1.05
RPS27,0.000340291,0.000356549,1.05
POLE,0.000112106,0.000117461,1.05
TMEM214,7.62E-05,7.98E-05,1.05
RPS6KC1,2.88E-05,3.01E-05,1.05
UHRF1,0.000161617,0.000169327,1.05
SELM,1.19E-05,1.25E-05,1.05
CDV3,0.000141126,0.000147814,1.05
MTERF3,7.78E-05,8.15E-05,1.05
ADIPOR2,1.63E-05,1.71E-05,1.05
BTBD10,4.48E-05,4.69E-05,1.05
RPIA,8.60E-05,9.01E-05,1.05
KDM6B,0.000242416,0.000253839,1.05
PREP,7.91E-05,8.28E-05,1.05
NCL,0.000836581,0.000875928,1.05
EIF5A,0.000166841,0.000174674,1.05
HDLBP,0.000199833,0.000209207,1.05
TTI2,5.88E-05,6.15E-05,1.05
LAS1L,9.03E-05,9.45E-05,1.05
MGME1,4.42E-05,4.62E-05,1.05
IPO5,0.000247647,0.000259236,1.05
RPS5,0.000416452,0.000435931,1.05
CD274,0.000148273,0.00015519,1.05
PMFBP1,1.71E-05,1.79E-05,1.05
EDRF1,9.20E-05,9.63E-05,1.05
FASN,0.000264573,0.0002769,1.05
RPL10A,0.000393261,0.000411567,1.05
NAA30,2.85E-05,2.99E-05,1.05
SRP19,8.42E-05,8.82E-05,1.05
MAPKBP1,5.11E-05,5.34E-05,1.05
METTL13,6.07E-05,6.36E-05,1.05
GNA14,2.14E-05,2.23E-05,1.05
MRPL48,8.94E-05,9.35E-05,1.05
SERBP1,0.000531054,0.00055562,1.05
DGCR8,0.000260404,0.000272444,1.05
UBE2J2,5.17E-05,5.41E-05,1.05
NOA1,4.51E-05,4.71E-05,1.05
SMYD3,7.36E-05,7.70E-05,1.05
ZFYVE16,3.18E-05,3.33E-05,1.05
BYSL,0.000235965,0.000246781,1.05
G3BP2,0.000198052,0.000207121,1.05
NDOR1,2.67E-05,2.79E-05,1.05
MIER2,6.39E-05,6.68E-05,1.05
ADAM17,4.27E-05,4.47E-05,1.05
H2AFY2,0.00022036,0.000230409,1.05
TAF1D,0.000112488,0.000117617,1.05
FBL,0.000526916,0.000550941,1.05
CACYBP,0.000180732,0.000188949,1.05
ISCA1,4.53E-05,4.73E-05,1.05
RRM1,0.000119606,0.00012503,1.05
ARL3,5.87E-05,6.13E-05,1.05
IARS,0.000256151,0.000267747,1.05
CHP1,4.26E-05,4.45E-05,1.05
TAF1C,7.19E-05,7.51E-05,1.05
RANBP1,0.000101703,0.000106279,1.04
MYO10,4.44E-05,4.64E-05,1.04
CFDP1,4.75E-05,4.97E-05,1.04
DHX29,7.05E-05,7.37E-05,1.04
EIF3D,0.000218448,0.000228236,1.04
IVNS1ABP,0.000200931,0.00020991,1.04
SDE2,3.47E-05,3.63E-05,1.04
EMC7,8.93E-05,9.33E-05,1.04
TXLNA,0.000221359,0.000231219,1.04
MTX1,6.27E-05,6.54E-05,1.04
FUNDC2,8.74E-05,9.13E-05,1.04
AGPAT4,2.95E-05,3.08E-05,1.04
ETF1,0.000142773,0.000149106,1.04
ASB6,0.00011533,0.000120439,1.04
SNAPC3,2.32E-05,2.43E-05,1.04
DHPS,0.00011436,0.000119415,1.04
RPS27A,0.000385774,0.000402742,1.04
UBE2O,0.000152135,0.000158814,1.04
BAZ1B,0.00010042,0.000104819,1.04
NAP1L1,0.000288001,0.000300608,1.04
TST,4.34E-05,4.53E-05,1.04
POLR3D,8.24E-05,8.60E-05,1.04
PPP1R16B,8.05E-05,8.40E-05,1.04
GNG12,6.70E-05,6.99E-05,1.04
SIK2,8.13E-05,8.49E-05,1.04
NAGPA,4.42E-05,4.62E-05,1.04
HSD17B12,0.000120645,0.000125907,1.04
BTBD9,7.04E-05,7.35E-05,1.04
HP1BP3,0.000199948,0.000208656,1.04
RAB8B,0.00014019,0.000146295,1.04
NADK,0.000107251,0.000111908,1.04
EEF1G,0.000382363,0.00039894,1.04
EIF3B,0.000216399,0.000225776,1.04
M6PR,7.01E-05,7.31E-05,1.04
MAP7D1,5.88E-05,6.13E-05,1.04
RPS21,0.00025532,0.000266364,1.04
IFRD2,5.33E-05,5.56E-05,1.04
AATF,0.000150671,0.000157183,1.04
MTF1,0.000227877,0.000237686,1.04
GSTCD,2.49E-05,2.59E-05,1.04
DPCD,3.82E-05,3.99E-05,1.04
USP16,6.66E-05,6.95E-05,1.04
TYW3,6.44E-05,6.72E-05,1.04
MRPL18,0.000112383,0.00011718,1.04
EIF5B,0.000156985,0.000163659,1.04
ZNF622,0.000122384,0.000127583,1.04
EIF4G3,9.51E-05,9.92E-05,1.04
LIN7C,7.22E-05,7.53E-05,1.04
COX11,2.38E-05,2.48E-05,1.04
SH2D2A,8.30E-05,8.65E-05,1.04
BOP1,0.000133647,0.000139286,1.04
AMMECR1L,3.51E-05,3.66E-05,1.04
SS18L2,3.86E-05,4.03E-05,1.04
MRPL23,0.000134834,0.000140491,1.04
NOL8,8.88E-05,9.26E-05,1.04
METAP1,4.02E-05,4.19E-05,1.04
SACS,4.33E-05,4.51E-05,1.04
FAM208B,6.57E-05,6.84E-05,1.04
PUM1,0.000101278,0.000105499,1.04
AASDHPPT,7.71E-05,8.03E-05,1.04
CIAPIN1,0.000125518,0.000130749,1.04
RTFDC1,6.16E-05,6.41E-05,1.04
ICAM2,6.46E-05,6.73E-05,1.04
MRPL9,0.000182898,0.000190502,1.04
NENF,8.90E-05,9.26E-05,1.04
FAIM,2.92E-05,3.04E-05,1.04
KPNA2,0.000394908,0.000411261,1.04
BCAP29,5.41E-05,5.64E-05,1.04
MRPS24,7.24E-05,7.53E-05,1.04
NASP,0.000131417,0.000136848,1.04
MRPL24,0.000152597,0.000158886,1.04
RPL9,0.0003701,0.000385352,1.04
UBL3,1.44E-05,1.50E-05,1.04
TRIM44,9.62E-05,0.000100189,1.04
TANGO6,3.77E-05,3.93E-05,1.04
GART,0.000197698,0.000205828,1.04
MRPS25,0.000104175,0.000108452,1.04
CCND2,0.000240601,0.000250469,1.04
DIMT1,0.000205451,0.000213857,1.04
METTL16,4.92E-05,5.12E-05,1.04
ALG8,3.74E-05,3.89E-05,1.04
KCTD5,6.25E-05,6.50E-05,1.04
KARS,0.000230457,0.00023983,1.04
GRSF1,0.000156162,0.000162505,1.04
TSR2,4.20E-05,4.37E-05,1.04
MLLT1,0.000127064,0.000132213,1.04
AARS,0.000164751,0.000171424,1.04
MRPL43,0.000108008,0.000112377,1.04
TNFRSF10B,0.000110999,0.000115489,1.04
FBXO30,4.14E-05,4.30E-05,1.04
DNMT3B,0.00017033,0.000177214,1.04
PFDN6,0.000122801,0.000127763,1.04
EIF4G1,0.000256891,0.00026727,1.04
ERF,5.55E-05,5.77E-05,1.04
NFX1,8.14E-05,8.47E-05,1.04
RPS10,0.000394702,0.00041059,1.04
MRPS17,4.50E-05,4.68E-05,1.04
EIF2AK1,3.79E-05,3.95E-05,1.04
B3GNT2,0.000129309,0.000134497,1.04
RPL10,0.000804843,0.000837036,1.04
STT3A,7.61E-05,7.91E-05,1.04
DPH2,5.03E-05,5.23E-05,1.04
ATP1A2,8.29E-05,8.62E-05,1.04
YBX1,0.000456034,0.000474158,1.04
RFWD3,0.000107545,0.000111816,1.04
GID4,6.19E-05,6.43E-05,1.04
AGPAT6,3.20E-05,3.33E-05,1.04
GLMN,0.000133114,0.000138396,1.04
PIP5K1A,0.000114037,0.000118553,1.04
TELO2,9.28E-05,9.65E-05,1.04
ADSS,0.000201449,0.0002094,1.04
RPS20,0.000402527,0.00041841,1.04
PLBD2,5.72E-05,5.95E-05,1.04
EIF3K,0.000152148,0.000158139,1.04
ABCF1,0.000154344,0.000160421,1.04
TOMM20,0.000112847,0.000117288,1.04
NCOA4,4.72E-05,4.90E-05,1.04
LAMA3,2.60E-05,2.70E-05,1.04
SLC25A15,4.17E-05,4.34E-05,1.04
KDM4C,5.66E-05,5.89E-05,1.04
GSPT1,0.000131594,0.000136748,1.04
TGIF2,3.37E-05,3.50E-05,1.04
SH3RF3,6.74E-05,7.01E-05,1.04
DNAJB12,5.96E-05,6.19E-05,1.04
EEF2,0.000514358,0.000534414,1.04
EEF1A1,0.000897714,0.000932692,1.04
LMBRD2,2.34E-05,2.43E-05,1.04
PGAM2,6.30E-05,6.54E-05,1.04
SIL1,6.45E-05,6.70E-05,1.04
ARL1,8.06E-05,8.37E-05,1.04
PLA2G16,2.99E-05,3.10E-05,1.04
NUBP1,8.05E-05,8.36E-05,1.04
ZCRB1,0.000143837,0.000149371,1.04
ATG2B,6.08E-05,6.31E-05,1.04
UHRF1BP1L,5.38E-05,5.58E-05,1.04
EIF4A2,0.000161887,0.000168099,1.04
KIN,3.41E-05,3.54E-05,1.04
RPSA,0.000479231,0.000497599,1.04
PTCD2,4.55E-05,4.73E-05,1.04
LSM12,9.08E-05,9.42E-05,1.04
ERO1L,6.53E-05,6.78E-05,1.04
FAM204A,2.81E-05,2.92E-05,1.04
KLHDC2,0.000108249,0.00011238,1.04
METTL23,7.48E-05,7.77E-05,1.04
RPS15A,0.000428923,0.000445255,1.04
POLR3B,0.000147843,0.000153468,1.04
CDK6,0.000239864,0.000248988,1.04
HSPH1,0.000284133,0.00029494,1.04
WDHD1,0.000115325,0.000119708,1.04
KLHL1,1.44E-05,1.50E-05,1.04
METTL21A,4.47E-05,4.64E-05,1.04
POLR1D,0.000105005,0.000108988,1.04
PTCD1,7.64E-05,7.93E-05,1.04
TOPBP1,0.000119349,0.00012386,1.04
RRBP1,0.000128886,0.000133745,1.04
NAA15,0.000150273,0.000155937,1.04
KCTD9,7.77E-05,8.06E-05,1.04
MRPS7,0.000183229,0.000190108,1.04
DEDD,4.77E-05,4.95E-05,1.04
OTUD7B,5.45E-05,5.65E-05,1.04
RBMX2,5.15E-05,5.34E-05,1.04
DNAJB6,0.000136164,0.000141261,1.04
TRA2A,0.000324158,0.00033629,1.04
CASC4,3.79E-05,3.93E-05,1.04
SDF2,2.59E-05,2.69E-05,1.04
ARPP19,3.97E-05,4.12E-05,1.04
IRAK2,7.80E-05,8.09E-05,1.04
MAOA,2.74E-05,2.84E-05,1.04
POP1,0.000177007,0.000183566,1.04
WHSC1,0.000132777,0.000137687,1.04
NAB2,0.000101883,0.00010565,1.04
MPHOSPH8,0.000141251,0.00014647,1.04
SEC63,8.39E-05,8.70E-05,1.04
CD5,5.66E-05,5.87E-05,1.04
DKC1,0.000324806,0.000336759,1.04
PSMG1,0.000105971,0.000109861,1.04
CBFA2T2,5.19E-05,5.38E-05,1.04
RRAD,4.26E-05,4.42E-05,1.04
TARBP2,0.000134633,0.000139566,1.04
RNMTL1,0.000114696,0.000118892,1.04
RBM38,2.47E-05,2.56E-05,1.04
TRUB2,0.000105449,0.000109289,1.04
STRBP,0.000117943,0.000122224,1.04
PRRC2B,9.62E-05,9.97E-05,1.04
UBN2,2.86E-05,2.97E-05,1.04
DRG1,0.000150326,0.000155756,1.04
EIF3I,0.000231927,0.0002403,1.04
ATP12A,9.18E-05,9.51E-05,1.04
STRAP,0.000216116,0.000223868,1.04
HSP90AB1,0.000810975,0.000840018,1.04
MRPL15,0.000149569,0.000154924,1.04
AKIRIN1,2.98E-05,3.08E-05,1.04
RLIM,7.99E-05,8.27E-05,1.04
KIF20B,5.55E-05,5.75E-05,1.04
ATP6AP1,0.000104599,0.000108328,1.04
GPN1,0.000138199,0.000143122,1.04
BCCIP,0.000126738,0.000131248,1.04
NOP56,0.00056387,0.000583915,1.04
EIF3E,0.000239588,0.000248098,1.04
VPS54,2.93E-05,3.03E-05,1.04
METTL25,2.18E-05,2.25E-05,1.04
MRPL40,0.000153212,0.000158638,1.04
BSG,0.000409798,0.000424303,1.04
KDM4A,7.04E-05,7.29E-05,1.04
POLR1C,0.000257656,0.000266763,1.04
EIF3M,0.000142598,0.000147631,1.04
FKBP4,0.000173891,0.000180024,1.04
GNAO1,0.000100235,0.000103765,1.04
HN1L,4.21E-05,4.36E-05,1.04
RPLP0,0.000464361,0.000480699,1.04
MTRR,3.30E-05,3.42E-05,1.04
ZDHHC9,2.74E-05,2.84E-05,1.04
MRPS30,0.000180935,0.000187287,1.04
MARCO,8.65E-06,8.95E-06,1.04
QTRT1,4.06E-05,4.20E-05,1.03
EMC4,6.74E-05,6.97E-05,1.03
RNFT1,1.55E-05,1.61E-05,1.03
DCTPP1,8.25E-05,8.54E-05,1.03
FAM173A,3.02E-05,3.12E-05,1.03
NAA10,0.00013793,0.000142735,1.03
HIST1H2BA,0.000442166,0.000457569,1.03
RPL11,0.000448765,0.000464394,1.03
CD27,8.26E-05,8.55E-05,1.03
FNIP1,5.73E-05,5.93E-05,1.03
TXLNG,0.000107462,0.000111193,1.03
FOCAD,3.46E-05,3.59E-05,1.03
SMCR8,4.34E-05,4.49E-05,1.03
LYRM7,5.22E-05,5.40E-05,1.03
EAPP,0.000106934,0.000110635,1.03
CHD1,0.000104178,0.000107781,1.03
ICE1,6.18E-05,6.40E-05,1.03
FIZ1,1.24E-05,1.28E-05,1.03
NARS,0.000160505,0.000166049,1.03
IMPDH2,0.000247478,0.000256007,1.03
XPR1,5.15E-05,5.32E-05,1.03
BNIP2,4.93E-05,5.10E-05,1.03
CDK17,9.45E-05,9.77E-05,1.03
PLEK,1.11E-05,1.15E-05,1.03
CBLB,0.000186801,0.000193197,1.03
EIF3F,0.000237879,0.000246015,1.03
PRMT3,0.000104614,0.000108187,1.03
MRPL1,0.000197454,0.000204195,1.03
ERAP1,6.54E-05,6.76E-05,1.03
RPL12,0.000405403,0.000419232,1.03
MRPL42,0.000166748,0.000172425,1.03
MRPL39,0.000216945,0.000224326,1.03
RAB11FIP4,2.94E-05,3.04E-05,1.03
MPV17L2,1.04E-05,1.08E-05,1.03
MRPL16,0.00010422,0.00010776,1.03
MRPL10,0.000187105,0.000193436,1.03
NPAT,6.61E-05,6.84E-05,1.03
DPH6,2.54E-05,2.62E-05,1.03
MRPS35,0.000179322,0.000185372,1.03
CWC25,3.90E-05,4.03E-05,1.03
SEC61B,9.83E-05,0.000101658,1.03
DDHD2,3.77E-05,3.89E-05,1.03
APLP2,6.41E-05,6.63E-05,1.03
UPF3B,9.85E-05,0.000101774,1.03
FASTKD5,4.47E-05,4.62E-05,1.03
TMEM165,7.69E-05,7.95E-05,1.03
EIF2S1,0.000209809,0.00021684,1.03
ELP2,9.79E-05,0.000101207,1.03
PRRC2A,0.000154244,0.000159385,1.03
RPP25L,4.65E-05,4.81E-05,1.03
MRPS21,0.000104208,0.000107671,1.03
ARID5B,3.55E-05,3.67E-05,1.03
TTC3,5.42E-05,5.60E-05,1.03
PSMB6,0.000250413,0.000258726,1.03
BAZ2A,4.63E-05,4.78E-05,1.03
CCND1,0.000186488,0.000192673,1.03
AIMP1,0.000193451,0.000199843,1.03
ISYNA1,0.000102889,0.000106288,1.03
FDFT1,6.70E-05,6.93E-05,1.03
ACACA,0.000191003,0.000197281,1.03
CNNM3,5.61E-05,5.80E-05,1.03
ALG3,2.14E-05,2.21E-05,1.03
IKBKAP,0.00020068,0.000207255,1.03
RPAP3,0.000175487,0.000181236,1.03
SLC2A1,8.01E-05,8.27E-05,1.03
KIDINS220,6.95E-05,7.17E-05,1.03
SND1,0.000267351,0.000276084,1.03
GEMIN4,0.000204866,0.000211552,1.03
RFK,3.85E-05,3.97E-05,1.03
EIF3A,0.000284902,0.000294173,1.03
ETV6,8.65E-05,8.93E-05,1.03
